step,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2
0,-0.0674317,-1.1052746,0.53028554
1,-0.10411893,-0.016879695,-0.05818333
2,-0.09149867,-0.9320792,1.9318162
3,-0.05513774,-1.1529791,-0.15604989
4,-0.5007922,-1.1988182,0.27701625
5,-0.15140793,-0.69794863,-0.2952411
6,0.055782735,0.74344677,-0.6045134
7,-0.0013824254,0.26310197,0.4637086
8,-0.39549685,-0.053429842,-0.1000651
9,-0.040518343,-0.47492495,-0.25238305
10,0.6162319,-0.5770627,-0.31543425
11,0.40981957,-0.2941867,1.0226305
12,0.6207267,-0.39272928,0.54757315
13,1.1513021,-1.0061327,-2.701371
14,1.2592106,-0.30660206,-1.6003375
15,0.3187265,0.4234764,0.32319513
16,-0.099712946,1.7177633,-0.44293243
17,-1.1478288,0.53508866,-1.0706356
18,-0.7862438,0.44975114,-0.8968091
19,-0.051835872,1.1094935,0.16486807
20,-0.06976577,0.7434327,-0.635172
21,-0.014476338,0.7076795,0.08178871
22,-0.49144155,0.1414624,-2.7060773
23,0.05911173,0.34396845,-1.9249092
24,0.044884928,-0.5436549,-0.386316
25,0.45897043,-0.49574918,-0.61923486
26,0.614137,0.13443722,0.29465818
27,-0.42927402,-0.35784683,-1.8419027
28,-0.030613737,-0.39956537,-0.48331502
29,-0.096906126,0.091666654,-0.5850838
30,-0.5915678,0.00866153,0.206655
31,0.01616364,0.81552565,0.3897113
32,0.0201855,0.53759354,0.2782627
33,0.1666657,-0.11923128,-2.5186923
34,0.1925315,-0.38382596,0.5898849
35,0.37223577,0.047107596,-0.5856792
36,0.08598621,0.12061964,-0.7359093
37,-0.27616006,0.9552668,-0.17052701
38,-0.4721837,1.530072,0.09667574
39,-0.38551354,0.10395558,0.68047917
40,0.34142393,-0.6586748,0.6067437
41,-0.52657694,0.14734638,-1.0265104
42,0.24289142,0.68454295,-0.023419939
43,0.26974905,0.61873454,0.39729714
44,0.04131441,0.54670954,0.6059688
45,-0.7277929,-0.4881229,-0.95679003
46,0.17171031,-0.42712477,-0.11084959
47,-0.44934824,-0.5171272,-1.4488411
48,-0.30581078,-0.55095935,-2.47737
49,0.43163684,-0.997231,0.5306036
50,0.85479325,-0.2573791,-0.025525248
51,0.59613144,0.22378871,-0.4792605
52,-0.301339,0.11580223,-1.0026985
53,-0.106065206,0.8693221,-1.3057072
54,0.14779037,1.1098316,-0.4025936
55,-0.5444288,1.041758,1.2605515
56,-0.48657972,0.06671425,-1.350224
57,-0.41094634,-0.03449993,-2.005747
58,-0.25815427,-0.027994398,-0.51800746
59,0.4265848,0.31699875,0.0912588
60,-0.012030987,0.85839295,-0.029991906
61,-0.5453105,0.51093763,-0.32404765
62,-0.21189214,0.027300378,0.08476769
63,-1.5284946,-1.2713526,2.170176
64,-0.9752601,-2.4715018,0.29803103
65,-0.06575755,-1.5956116,-0.44086874
66,0.12620606,-0.48743182,0.30668315
67,0.37079927,0.55669546,-0.44196245
68,0.47600132,1.04765,0.5770639
69,-0.5562211,-0.1592868,1.9229465
70,-0.12911265,0.387745,-0.060534004
71,-0.35220283,0.8877002,0.8909461
72,-0.5648165,0.83397305,0.9670398
73,0.0031129606,-0.28532454,0.9143536
74,0.6050489,0.085785255,1.5775281
75,0.2277754,-0.22266045,1.2271926
76,0.16354635,-0.0765558,-1.1888299
77,0.40962473,0.11359057,-0.2983823
78,0.26657963,-0.21009196,-1.9823508
79,-0.14350396,-0.22106422,-0.30443385
80,0.080424845,-0.5416616,-1.2874115
81,0.8080925,-0.9498429,-0.7485609
82,-0.061266787,-0.54836977,0.5563451
83,0.24595521,1.0198041,-0.18068857
84,0.52438056,0.55304825,-0.8424907
85,0.14978896,0.33159408,-0.49284145
86,-0.05181323,-0.21474153,-1.9273189
87,-0.79628766,0.5369029,-1.8336866
88,-0.8572144,0.32933116,-0.22758932
89,0.187193,0.17887716,-0.199683
90,-0.45977873,-0.17898151,-1.0959553
91,-0.28811073,-0.5623953,0.16175655
92,-0.4593072,-0.29966614,-1.3777968
93,-1.0119509,0.07919948,-0.9115267
94,-0.83307415,0.32338595,-1.2473676
95,-0.98789483,0.6816813,-1.8798444
96,-0.41359884,0.1416887,0.82563233
97,-0.2937094,-0.6777708,-0.24432199
98,0.058934614,-0.98101544,1.7295752
99,-0.09448856,-0.49745744,1.2362056
100,0.9001631,0.16778676,1.4408513
101,0.9082688,0.37810045,0.65734833
102,0.4777539,0.21110085,0.39620426
103,0.5770195,0.34551296,-0.53840435
104,-1.0754865,0.45565394,0.8500304
105,-0.46576753,0.8412691,1.6329243
106,0.3451373,0.2888912,2.1210845
107,0.42704707,-0.6954679,-0.08787682
108,-0.03107638,-0.09744443,0.90202075
109,-0.20037289,0.66058743,-1.3181058
110,-0.3551855,0.009745935,-0.106854714
111,0.23393175,-0.31796068,1.2034739
112,0.13489997,-0.9636944,-0.028385997
113,0.2905075,-0.9171893,0.26819506
114,0.18368776,-0.062894024,-0.33179742
115,-0.3506796,0.66313636,0.1963778
116,-0.5047919,1.2045274,-0.22885966
117,0.094073206,0.5091711,0.4306654
118,0.1695574,0.06949533,-0.23385784
119,-0.2261191,-0.5494265,0.0047524273
120,0.15436451,-0.29565224,0.031509086
121,0.4433813,-0.076148026,-0.9504656
122,0.8684065,0.0078028217,-0.9962665
123,0.18660961,-0.29274437,0.23410012
124,0.31737477,-0.06975543,0.9926002
125,0.391897,0.9577516,-0.8051419
126,0.6891694,-0.40053803,-0.6077963
127,0.24612877,0.30552465,-0.47762975
128,0.2897811,-0.6521679,1.0347497
129,-0.02253247,-0.41790128,-0.6040995
130,-0.753028,-0.81254345,-0.3634519
131,0.4264594,-2.3577032,2.6274543
132,0.6821836,-1.1486499,1.1117519
133,0.7775406,0.48634735,1.3157676
134,0.1762692,1.1500206,0.15773553
135,0.9940766,0.90749496,0.20134348
136,0.2699479,0.62960243,0.1718483
137,-0.021681271,0.9912821,1.3070761
138,-0.49923706,0.45673823,2.016097
139,-0.8470534,0.35892096,0.9948359
140,-0.19276933,-0.5877066,0.72228557
141,-0.6148448,0.15922596,-0.9116068
142,-0.7670273,-0.042253353,0.7233691
143,-0.20703018,-0.17195864,0.36942303
144,-0.594999,-0.24336946,-0.13091311
145,0.1547435,-0.2484612,-0.19413522
146,0.18247171,-1.6243159,-1.5807843
147,0.48083574,-1.8501439,-2.535775
148,0.21756954,-0.26545966,0.48130342
149,-0.10372955,-0.04063088,-0.26651093
150,0.51065993,0.29349872,-2.296679
151,-0.4057608,0.89271325,-0.6233052
152,-0.043291964,0.61645883,0.35767555
153,0.027920874,0.6992061,-0.12738952
154,0.42395717,0.1285562,-2.155377
155,0.024239514,-0.137862,-1.2458507
156,0.42272684,-0.17697515,-1.8177449
157,0.694849,-0.6923626,-0.22064418
158,-0.021430817,-0.01317873,1.8417538
159,-0.5582912,-0.3901322,1.0230747
160,-0.68492854,-0.048645,-0.07941441
161,-0.29135635,-0.20597847,0.57895833
162,-0.124420375,-0.100078344,-1.5015581
163,-0.17750438,-0.7843451,-0.5257247
164,0.4111572,-1.0807182,1.6664343
165,0.7868025,0.27363226,-0.98532146
166,0.9428565,0.75522256,-0.026063208
167,0.33201113,0.71963364,-0.065601625
168,-0.19034459,1.1685005,2.1364608
169,-0.5551127,0.85737234,0.9200858
170,-0.25779977,0.07902612,1.8624554
171,-0.28985983,0.2989894,0.45701128
172,0.28418168,0.29639176,0.97694606
173,-0.39424512,0.16952771,-0.54500157
174,0.26313248,0.13893168,0.71593183
175,0.7502666,0.2507896,0.4410809
176,0.29935408,-0.44707906,0.006466601
177,-0.5590418,-0.14141223,0.05294907
178,-0.33499813,-0.07442344,1.1835474
179,-0.44652817,0.26898408,-0.7415017
180,-0.21723366,-1.1980687,0.39839226
181,-0.024387326,-1.0800577,-0.83760124
182,0.2855548,-0.7085399,-1.6682191
183,0.287466,0.7100146,-0.3885356
184,0.26948088,0.52048,-0.97327954
185,0.09695146,0.13801955,-0.21800683
186,-0.39916968,-0.14694528,-0.13833033
187,0.43056566,0.112832956,-1.326131
188,-0.006526471,0.14485002,-0.54149336
189,0.5571127,0.26827925,-0.81568563
190,-0.6496526,0.48396873,0.6727733
191,0.39014468,0.707313,1.3846453
192,-0.18661936,0.14702617,1.3824551
193,-0.12792805,-0.6404061,0.39941284
194,-0.008670308,-0.83294487,-0.48340145
195,0.03287355,0.15376657,0.5959439
196,-0.07009067,-0.61462873,0.70704937
197,0.011894714,-1.2666552,-0.8300344
198,-0.10585864,-0.21343128,-0.24461883
199,0.5082283,0.006471268,0.50069064
200,0.6156455,1.2120894,-0.7531035
201,0.76355845,1.2402275,0.6439376
202,0.19576693,0.5373542,1.2878239
203,-0.3742315,0.86976784,0.12169395
204,-0.97707146,1.2382591,1.1633512
205,-1.288903,0.45346692,0.9465717
206,-1.5756931,-0.17134203,0.80885994
207,-0.15180494,0.13393934,0.48057342
208,-0.017470218,0.11265563,-0.45431933
209,0.20523056,0.27535522,0.38481796
210,-0.4594519,0.045433603,2.108411
211,-0.18794468,-0.4544155,1.4242083
212,0.25578314,-1.4976227,1.2976416
213,-0.38586962,-1.2254452,0.102659404
214,-0.3449538,-0.25145623,-0.45203805
215,-0.5224688,0.5262901,-1.9681022
216,0.4160025,0.8079865,-1.0381978
217,0.37817335,-0.3196409,-1.5791725
218,0.374248,-0.020517293,-0.7052423
219,-0.20138788,0.24964738,0.2327596
220,0.5452994,0.5886531,0.2595238
221,0.31613538,0.046507873,-1.7452743
222,-0.3162531,-1.1606289,-0.9841767
223,0.24319606,-0.60337055,-1.0126804
224,-0.26666918,-0.6344965,-0.2609958
225,-0.26576495,-1.4641972,0.64806664
226,-0.09118972,-0.34620452,0.691462
227,-0.23425183,-0.56131524,1.168702
228,-0.06835368,-0.6418863,1.3437842
229,-0.7071214,-0.9770662,0.44476977
230,-0.66613686,-1.39308,1.1900071
231,-0.3104171,-0.3831429,1.0710926
232,0.7725487,0.49966422,-0.33376175
233,0.95294034,1.3443302,-0.2572751
234,0.99283755,0.8253727,0.591829
235,1.0731881,0.3394377,1.6257625
236,-0.024083424,-0.1486525,2.3817058
237,-0.5399343,-0.40001678,0.15478715
238,-0.603211,0.30136073,2.007242
239,-0.87674576,0.5944921,0.5298059
240,0.27247697,-0.042557422,-0.037339285
241,0.012247614,0.28225282,0.101353176
242,0.5288388,0.6121826,-0.6157106
243,1.4169267,-0.10872352,0.53721267
244,0.594291,-0.30083638,-1.4324542
245,0.13792136,0.016690787,0.71070737
246,-0.8010249,0.21547677,0.9513367
247,0.20270748,-1.0472834,-0.053962845
248,0.56075937,-0.36909592,-1.5417718
249,-0.09151524,0.71579576,-1.4787576
250,0.2266028,0.72656494,-2.0267572
251,0.3949883,-0.01969872,-2.7252285
252,-0.4160568,0.48306885,-0.7657935
253,0.18545628,0.6045859,0.26763725
254,-0.009672534,0.3305784,0.8264221
255,0.06820013,-0.08004944,0.7858706
256,0.33782342,-0.03628794,-0.3691383
257,0.06850134,0.9081829,-1.2499441
258,0.30588028,0.9372916,-0.027629416
259,0.02720569,1.2572392,1.4567884
260,0.004845673,-0.23200443,-0.057241827
261,-0.46696874,0.65975004,1.2432026
262,-0.34242317,0.03797116,0.91187537
263,-0.5593414,-0.095364384,-0.22718638
264,-0.6497163,-1.2266831,0.3837616
265,-0.22427012,-1.4034477,1.6306832
266,0.17633972,-0.5442496,-0.22833784
267,0.03377139,0.16568752,-0.77949804
268,0.6298591,0.51713884,-0.5849528
269,0.34473622,-0.19080386,0.6627893
270,-0.9351086,0.6694414,-0.14796889
271,-1.0849812,0.20839031,0.66476977
272,-0.426669,-0.15232372,0.39828488
273,-0.21530893,-0.43580458,-0.6963338
274,0.6838432,-0.95144993,-0.4063467
275,0.38620564,-0.53023714,-0.78535837
276,0.68005776,0.06978366,-1.6799341
277,0.27321225,-0.82469404,-2.8135798
278,0.0121657625,-0.66954416,-0.52780354
279,0.31075203,-1.8158497,-1.8903973
280,-0.18826756,-2.0754955,-2.6234746
281,-0.031643778,-0.6070935,-1.33165
282,0.57103455,0.52785563,-0.6325506
283,-0.26980868,2.2584844,-1.3332375
284,-0.046057925,1.6905302,-1.4316548
285,0.01969659,0.7699117,-1.9398831
286,0.4625808,0.26939633,-2.2285354
287,0.05420614,-0.1877897,0.339129
288,-0.08319941,0.3742267,1.6958946
289,-0.21783079,-0.685012,0.37424302
290,-0.26775977,-0.6609327,-0.3882214
291,-0.30560425,-0.17385313,-0.3228053
292,-0.5420247,0.56744826,-0.015276275
293,-0.6066596,0.20170844,-0.81151664
294,-0.83371663,0.46461397,-1.5080041
295,-0.40167674,0.6687646,-0.7458615
