step,base_height
0,0.98270917
1,0.9994079
2,1.0114033
3,1.0188277
4,1.0224996
5,1.0234067
6,1.0222039
7,1.0185637
8,1.0107995
9,0.9982871
10,0.9813037
11,0.96087354
12,0.94150907
13,0.93163544
14,0.9291196
15,0.9329894
16,0.9418111
17,0.9502901
18,0.95940125
19,0.9698149
20,0.9814306
21,0.99268466
22,1.0011771
23,1.0051079
24,1.0051135
25,1.0006853
26,0.99291945
27,0.98150694
28,0.9658808
29,0.94732034
30,0.93293446
31,0.9248078
32,0.92441297
33,0.9314982
34,0.9420268
35,0.9556823
36,0.9725585
37,0.9920765
38,1.0095905
39,1.021589
40,1.0286698
41,1.032657
42,1.0328574
43,1.0293177
44,1.0222064
45,1.0106161
46,0.9944526
47,0.9750431
48,0.9573884
49,0.9452952
50,0.94062144
51,0.9411704
52,0.9493745
53,0.96336704
54,0.9786676
55,0.99241817
56,1.0021968
57,1.0070325
58,1.0081372
59,1.0062125
60,1.0009254
61,0.9911456
62,0.9785752
63,0.96632683
64,0.9569338
65,0.9533067
66,0.9553094
67,0.95866156
68,0.9656357
69,0.97908163
70,0.9976566
71,1.0142332
72,1.0251311
73,1.0315111
74,1.0343026
75,1.0332121
76,1.028198
77,1.0201578
78,1.0082676
79,0.9917375
80,0.97202885
81,0.95342034
82,0.94121444
83,0.9355164
84,0.9360289
85,0.9457774
86,0.96345514
87,0.9812079
88,0.99561995
89,1.0060561
90,1.0127698
91,1.0143682
92,1.0124413
93,1.0077217
94,0.9998549
95,0.9869433
96,0.9717983
97,0.96023434
98,0.9567604
99,0.9577502
100,0.96277094
101,0.97272354
102,0.98563963
103,0.9981141
104,1.0084447
105,1.0163418
106,1.0200548
107,1.0190183
108,1.0145698
109,1.0067852
110,0.99501
111,0.9794392
112,0.9598763
113,0.9405849
114,0.9283519
115,0.923539
116,0.9257391
117,0.9352345
118,0.95174444
119,0.9696138
120,0.98634744
121,1.0020483
122,1.0134925
123,1.0207258
124,1.0239584
125,1.023584
126,1.0190536
