step,lin_vel_body_0,lin_vel_body_1,lin_vel_body_2
0,-0.07563824,-0.008672807,0.7639801
1,0.020689549,0.021035591,0.81589156
2,-0.08126479,-0.06925011,0.5058101
3,-0.13162276,-0.007848637,0.26660874
4,-0.067822315,0.011624281,0.082881406
5,0.020040125,0.0014516617,-0.028076395
6,0.21254168,-0.021657813,-0.061902836
7,0.061487906,-0.0033252202,-0.2065184
8,-0.03251138,0.062584855,-0.43132573
9,-0.14433098,0.00076019764,-0.6956084
10,-0.17432457,-0.050057594,-0.9292113
11,-0.10388411,-0.107259765,-1.0682647
12,-0.04598053,-0.21733135,-0.94433564
13,-0.2168814,-0.28462654,-0.47060484
14,-0.051128093,-0.4140428,-0.10567744
15,0.1447246,-0.4111491,0.29891387
16,0.3410256,-0.34101456,0.5932811
17,0.15173906,-0.17644517,0.47663233
18,0.13302705,-0.2870291,0.53214896
19,0.34802753,-0.54378855,0.5985803
20,0.32156214,-0.54591817,0.64040875
21,0.2990225,-0.52814084,0.5876391
22,0.19854872,-0.3471071,0.41776562
23,0.17386201,-0.48896325,0.17372312
24,0.061225533,-0.58353716,-0.0561198
25,0.013829582,-0.63903195,-0.2848965
26,0.17403086,-0.69234246,-0.4071724
27,0.09213598,-0.47845313,-0.596716
28,0.09527847,-0.55074424,-0.8296549
29,0.25679076,-0.52662426,-0.9221514
30,0.22065769,-0.40884238,-0.6225843
31,0.4036542,-0.45208395,-0.31139544
32,0.34672022,-0.31652278,0.09654965
33,0.1406458,-0.15491162,0.4080902
34,0.19703314,-0.255152,0.52300775
35,0.25786301,-0.23171635,0.7078215
36,0.27698243,-0.1207511,0.8763816
37,0.44675478,-0.012241654,1.0412394
38,0.52613646,0.0023435075,0.928946
39,0.33455044,-0.054291643,0.56800985
40,0.17593299,-0.2049601,0.2890603
41,0.33225602,-0.024683863,0.19603653
42,0.41313478,-0.11938938,0.006381953
43,0.40006098,-0.11684912,-0.18344632
44,0.40056148,-0.070293546,-0.35908526
45,0.2031602,0.048301212,-0.61188996
46,0.20803931,-0.1397253,-0.86322516
47,0.17106195,-0.010717201,-1.011264
48,0.19188069,-0.06769566,-0.8293957
49,0.16793968,-0.40115336,-0.5941129
50,0.28177333,-0.5437873,-0.17716298
51,0.4285238,-0.5545541,0.08256463
52,0.40572312,-0.4423694,0.5370625
53,0.51076055,-0.48519188,0.78782177
54,0.57863206,-0.6686922,0.8486127
55,0.5228297,-0.60815054,0.7398045
56,0.3007735,-0.5157237,0.49074438
57,0.32763055,-0.4361534,0.22400099
58,0.37069395,-0.55151373,0.048664123
59,0.5230486,-0.6926313,-0.09609483
60,0.60971195,-0.6337174,-0.2283575
61,0.60599846,-0.4926774,-0.4655543
62,0.6696119,-0.5472891,-0.6100823
63,0.44167414,-0.3952309,-0.56348556
64,0.17871815,-0.37909016,-0.51194507
65,0.28294048,-0.43821734,-0.20874815
66,0.43208244,-0.47178036,0.09616023
67,0.58691347,-0.44385287,0.16512138
68,0.6636987,-0.399287,0.42908123
69,0.53099006,-0.17563266,0.7567509
70,0.60728157,-0.07351604,0.9856186
71,0.68623704,-0.08526549,0.84099984
72,0.7349498,-0.09765725,0.56091857
73,0.5670531,-0.22165242,0.28918096
74,0.6349583,-0.35187888,0.12771294
75,0.55586076,-0.31414995,-0.08323094
76,0.61324203,-0.1682247,-0.26838386
77,0.6695714,-0.1913648,-0.40422994
78,0.5480014,-0.07750605,-0.6168995
79,0.56850004,-0.051679067,-0.84132755
80,0.5263508,-0.04884907,-1.0084032
81,0.5094533,-0.16965368,-0.921587
82,0.5789811,-0.13989693,-0.5556565
83,0.80672574,-0.19674611,-0.17162585
