step,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,torque_12,torque_13,torque_14,torque_15,torque_16,torque_17,torque_18
0,-3.4220028,-52.783333,-166.0081,-205.06432,40.0,26.540146,50.399796,-79.10741,-152.34772,40.0,-25.256136,-24.02422,0.8366318,0.49949646,-18.0,0.5941925,-6.5794144,-18.0,-18.0
1,2.3847046,-49.823357,6.811433,2.2980042,9.87265,2.4880295,38.3714,-16.565845,0.76174927,-6.7715454,-3.6493702,-40.0,11.062317,10.341452,-18.0,-18.55104,-40.0,0.46376228,-18.0
2,10.484535,20.314503,6.6151695,-2.7058716,0.28851318,-0.011613846,-28.525192,10.463871,2.7242432,-4.9685364,0.26502228,3.059555,11.380005,18.0,-18.0,10.284325,10.696732,18.0,11.441223
3,3.2749405,30.264816,15.384502,-7.5374146,10.0243225,1.0770569,-35.93164,-37.191505,-4.1128845,3.8176575,-8.9993,40.0,-5.6252594,-18.0,14.382843,2.216713,40.0,-4.4816093,6.1007385
4,-6.390671,-30.181778,-39.88478,-34.65515,7.0912476,5.614975,30.355911,3.4861145,20.312347,2.4728699,13.3535,40.0,-8.393494,-18.0,18.0,7.8224335,40.0,6.9599686,18.0
5,-10.156315,-49.953304,-41.13144,-42.50598,-7.4382324,2.3617783,48.693775,7.919464,22.882431,14.891602,8.752896,23.154362,-23.277527,-18.0,18.0,-0.14897919,-14.748695,-0.26472855,18.0
6,-32.912186,6.1543007,-50.166077,-19.875977,-5.7159424,-13.472673,11.599472,33.394913,13.117477,23.032196,49.489723,33.114555,27.257156,11.076443,18.0,-38.243553,-40.0,18.0,18.0
7,13.529423,-14.628273,9.638992,7.7144165,-29.382874,-9.305138,32.548256,20.61412,-5.7852173,-8.749573,9.772238,-14.279518,2.1888123,4.0006294,18.0,-26.420094,0.5914688,-18.0,18.0
8,-3.954083,19.916471,-20.348267,6.1904297,3.185028,-6.23979,-29.915718,37.518406,-2.7073975,2.800293,11.709029,-2.644233,-40.0,-1.7177496,-10.812317,-1.017456,10.299377,4.1726665,-15.871521
9,7.623226,15.970862,42.1082,30.380798,-5.268982,3.7820654,-17.957726,-41.460236,-37.77063,5.277649,-25.632399,-40.0,3.528389,-6.763916,9.432556,6.745079,40.0,-18.0,-18.0
10,5.302807,5.672554,8.200348,12.622253,-5.5574646,4.9567566,8.858673,-10.199387,-25.154236,33.170868,-0.20653152,0.10471153,-10.645367,18.0,-18.0,4.349762,-18.736292,0.3795929,-18.0
11,22.267418,-49.459778,6.991501,-95.10553,-40.0,-12.692469,22.905212,-16.81863,-27.927979,-31.027039,-6.318385,-0.75178146,18.47992,-0.69110155,-18.0,40.0,-8.539183,0.589592,8.526886
12,47.317364,54.98752,-75.885284,-300.0,28.265259,-9.143539,-12.389538,22.610306,-6.0183105,40.0,-44.560654,-18.178534,-10.15794,-1.7218218,-18.0,15.407053,38.927208,18.0,-16.13507
13,14.204493,-20.677032,-13.827621,-300.0,40.0,4.315117,25.389023,-54.488052,-36.071533,-4.809326,-50.0456,-37.568844,-40.0,-18.0,-18.0,0.15287018,-0.7206497,18.0,4.2219543
14,-20.27216,188.03627,-145.02188,-300.0,40.0,8.905218,-57.41614,16.841331,-7.699341,5.3692017,7.72068,-37.4667,15.873882,5.593689,-18.0,-13.237457,-11.7368965,-7.661148,2.0565186
15,-4.265501,200.0,-129.04846,-295.5624,40.0,-0.46933746,-41.759266,15.379532,-16.95044,10.726501,6.11475,-0.83683777,16.232891,1.6442285,6.7523193,-5.584654,-40.0,-18.0,18.0
16,-19.76048,108.519684,-81.42651,-184.5904,-21.429016,-9.990189,-20.086123,13.69812,0.3005371,40.0,8.578911,9.53447,-0.27182007,-1.1056995,10.2708435,-20.358572,-4.4297104,-18.0,3.5196533
17,-0.3184166,148.0428,25.014313,-6.3084717,40.0,-6.9072227,-48.47914,16.639435,12.233765,-21.126526,15.610157,24.595833,14.067551,9.593252,18.0,-3.408699,-40.0,-18.0,-9.057678
